d_B,n_b_qubits,trial,value,omega,eta_ab
8,3,2,0.251251909316881,0.15601864044243652,0.2794361675106186
8,3,3,0.3994268333737563,0.05808361216819946,1.3239686935631354
8,3,4,0.17409373541820078,0.6011150117432088,1.0914305465266174
8,3,5,0.3524058115374985,0.020584494295802447,1.4765398478820424
8,3,6,0.2839568740849775,0.8324426408004217,0.36230758402050356
8,3,7,0.25576524580267224,0.18182496720710062,0.31975067941004887
8,3,8,0.29719470782374613,0.3042422429595377,0.8218098321066927
8,3,9,0.25935944115403636,0.43194501864211576,0.478338749658916
8,3,10,0.1674304904939815,0.9522541012238168,0.058820634662532845
8,3,11,0.3213392076613934,0.007547319316293044,1.4664434609257273
8,3,12,0.3264819968558375,0.00922651353140528,1.2298726194747474
8,3,13,0.31421671740853974,0.19920073606111174,1.229808455480034
8,3,14,0.3557855098119199,0.09696877974827961,1.5172201550751743
8,3,15,0.3521752412984064,0.14339600191863783,1.2198618467159377
8,3,16,0.2212783159899273,0.5042398004465429,0.7863925615859243
8,3,17,0.2831883408666497,0.30081331820694523,1.337450551871678
8,3,18,0.36391809987664697,0.11980196439558222,1.0377268323766664
8,3,19,0.2881437605961216,0.2669910729453694,1.0053017248891893
8,3,20,0.34201882273190853,0.091998349829334,0.5913043074085165
8,3,21,0.402349347570369,0.09094636237276037,1.3322708154029415
8,3,22,0.32051671208503,0.23935542226177065,1.1268468804614347
8,3,23,0.39993644062177197,0.0753629682964918,1.322626225941798
8,3,24,0.4064191798024088,0.07829235810391226,1.3441199211077424
8,3,25,0.32505955673165365,0.23488736048092618,1.3587935844180998
8,3,26,0.24339856154787198,0.3470661543735313,1.208318270818546
8,3,27,0.40220582371021624,0.10061399904747975,1.3424301199097317
8,3,28,0.3494018030743268,0.16592395914558875,0.9373950548942689
8,3,29,0.23700935987876517,0.42649207347494106,1.394681756625317
8,3,30,0.26440880114093157,0.33433608718412866,1.1554702643887942
8,3,31,0.3777534813084955,0.07234028289348726,1.2959252687803122
16,4,0,0.21399930045557125,0.3745401188473625,1.4483071096990625
16,4,1,0.018598294774760712,0.7319939418114051,0.9305046995616021
16,4,2,0.2660099117815177,0.15601864044243652,0.2794361675106186
16,4,3,0.45064372924873974,0.05808361216819946,1.3239686935631354
16,4,4,0.07274020521079158,0.6011150117432088,1.0914305465266174
16,4,5,0.357338039079982,0.020584494295802447,1.4765398478820424
16,4,6,0.24450730079167865,0.8324426408004217,0.36230758402050356
16,4,7,0.26797492986967975,0.18182496720710062,0.31975067941004887
16,4,8,0.25587120247804346,0.3042422429595377,0.8218098321066927
16,4,9,0.21542561283104528,0.43194501864211576,0.478338749658916
16,4,10,0.1718745450728844,0.9522541012238168,0.058820634662532845
16,4,11,0.3215410137669116,0.007547319316293044,1.4664434609257273
16,4,12,0.2959799906128914,0.00922651353140528,1.2298726194747474
16,4,13,0.285796469201156,0.19920073606111174,1.229808455480034
16,4,14,0.3709942513823769,0.09696877974827961,1.5172201550751743
16,4,15,0.3513353770015159,0.14339600191863783,1.2198618467159377
16,4,16,0.1122915128438026,0.5042398004465429,0.7863925615859243
16,4,17,0.24477521722855622,0.30081331820694523,1.337450551871678
16,4,18,0.36760359036750845,0.11980196439558222,1.0377268323766664
16,4,19,0.27409229104102595,0.2669910729453694,1.341930959235606
16,4,20,0.3680652771362118,0.091998349829334,1.519252155019714
16,4,21,0.44869059108548703,0.08299894726335251,1.3461568356558897
16,4,22,0.43613950980559657,0.07200605006513344,1.307595142755313
16,4,23,0.2580921223400803,0.2476069714238625,1.097174336254989
16,4,24,0.4518829177747111,0.07733220104670806,1.3441199211077424
16,4,25,0.2698765575412673,0.23432957695544737,1.1518511269590912
16,4,26,0.1833980273624134,0.34640765320809713,0.9942710001497743
16,4,27,0.4544568760950113,0.06988003641298665,1.3387885644633968
16,4,28,0.32627674439643134,0.1637170324586094,0.870274076178414
16,4,29,0.19652372784690597,0.4257859957370513,1.3934456161975077
16,4,30,0.41318043222752054,0.04988424828473477,1.1761246321730423
16,4,31,0.4458212641626811,0.07234028289348726,1.3741186229585627
32,5,0,0.21090632273978496,0.3745401188473625,1.4483071096990625,1.1266140008523318
32,5,1,0.2483081705329056,0.5986584841970366,0.2794716432742693,0.2794361675106186
32,5,2,0.40481031426783487,0.05808361216819946,1.3239686935631354,0.9341177512531826
32,5,3,0.18334320991781866,0.7080725777960455,0.08027559859919674,1.4765398478820424
32,5,4,0.24555001536813442,0.8324426408004217,0.36230758402050356,0.3174274938878061
32,5,5,0.2328895350013292,0.18340450985343382,0.49747837340072854,0.8218098321066927
32,5,6,0.20275626441951367,0.43194501864211576,0.478338749658916,0.9499109900965003
32,5,7,0.2572606994016976,0.13949386065204183,0.4796852759583849,0.5888436533941692
32,5,8,0.12459658313826011,0.45606998421703593,1.204833919904496,0.34367946535575983
32,5,9,0.12713616308701647,0.5142344384136116,0.9213211718220744,0.11831909640667959
32,5,10,0.008445116735561019,0.9522541012238168,0.8588650641448297,1.4759916212381294
32,5,11,0.37576625582797785,0.008558490263606305,0.8819016561613165,0.6557986905314628
32,5,12,0.38587015097981514,0.009617591189629987,0.9678997593783178,0.6296830485401226
32,5,13,0.41715788927251596,0.003668133979440686,1.238470804773083,1.1492646253563585
32,5,14,0.3228159638172311,0.25089311591054475,1.5107778558407947,1.2193039468850198
32,5,15,0.23536595870121846,0.285797556368283,1.213281539573873,1.1790214977705915
32,5,16,0.33833129639892884,0.10012496414345895,1.250252355438995,0.9622376182582774
32,5,17,0.3639120409117811,0.08587244217399603,1.0721628410083333,1.3322708154029415
32,5,18,0.23182830336345292,0.28924309655811986,1.3557428901707906,0.9933649220985032
32,5,19,0.35099166716719277,0.009716811525715803,0.7723240200006833,0.8005196328490582
32,5,20,0.2473249083366884,0.21155616465718088,1.124855978597835,0.7815666669167172
32,5,21,0.38507371807589874,0.019080652255650844,1.0294632445208447,0.5060016147965938
32,5,22,0.3663590843562746,0.10631550048049401,1.3435607445316022,1.084614039900951
32,5,23,0.3301898171816987,0.001330203131583762,0.7354285790825752,0.6966015667715935
32,5,24,0.3164286739108445,0.16328208586978282,1.0213663157131518,1.3356061774329466
32,5,25,0.4039344884970929,0.08714275275642093,1.3074620536926282,0.5122146649743539
32,5,26,0.40957287584218965,0.09312479766516017,1.3372818010997716,0.4425610581604986
32,5,27,0.23701611219393354,0.35800025649167283,1.427607963382817,1.3215317942820417
32,5,28,0.28491331034211836,0.2229157130588918,1.1641902624967362,0.05177234552732246
32,5,29,0.4187053973914587,0.08548390554017389,1.4723867962785908,1.0683026206520372
