study,trial,value,best_so_far
ABC-embedded-tied_paper_s0_s10,11,0.4208662543571335,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,12,0.4025683822794443,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,13,0.41066223288422304,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,14,0.4200191214955334,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,15,0.4764213687300446,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,16,0.4044677145918654,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,17,0.47301516603701277,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,18,0.41911766220834623,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,19,0.5608802414746147,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,20,0.42127587037411307,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,21,0.5508612064551759,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,22,0.5693821744116956,0.6619317274605739
ABC-embedded-tied_paper_s0_s10,23,0.7348755764783927,0.7348755764783927
ABC-embedded-tied_paper_s0_s10,24,0.45471631910538945,0.7348755764783927
ABC-embedded-tied_paper_s0_s10,25,0.44934789968092526,0.7348755764783927
ABC-embedded-tied_paper_s0_s10,26,0.7521726945716336,0.7521726945716336
ABC-embedded-tied_paper_s0_s10,27,0.7639375208450078,0.7639375208450078
ABC-embedded-tied_paper_s0_s10,28,0.757273804965426,0.7639375208450078
ABC-embedded-tied_paper_s0_s10,29,0.4302817857394909,0.7639375208450078
ABC-embedded-tied_paper_s0_s10,30,0.4752136659774117,0.7639375208450078
ABC-embedded-tied_paper_s0_s10,31,0.7683773592134533,0.7683773592134533
ABC-embedded-parallel_paper_s0_s10,0,0.34350514148093464,0.34350514148093464
ABC-embedded-parallel_paper_s0_s10,1,0.6692935675526878,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,2,0.23672275241236868,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,3,0.5858391221852555,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,4,0.41925281545382354,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,5,0.4354387142412386,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,6,0.4242439175046793,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,7,0.42591632816441194,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,8,0.0030139437392849985,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,9,0.4858421236896284,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,10,0.02827914633317867,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,11,0.47778655983414653,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,12,0.45478730493140784,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,13,0.2335543152010225,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,14,0.601805018470149,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,15,0.5506434132362179,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,16,0.5475071976337549,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,17,0.4309442319537822,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,18,0.4287618394660202,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,19,0.5233020523718914,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,20,0.42017324507428483,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,21,0.5246875249471086,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,22,0.5880497069316399,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,23,0.42704786227306246,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,24,0.5936677381686544,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,25,0.5606385481421279,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,26,0.6666475391758536,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,27,0.510661371970861,0.6692935675526878
ABC-embedded-parallel_paper_s0_s10,28,0.7029228902794006,0.7029228902794006
ABC-embedded-parallel_paper_s0_s10,29,0.6701765726831055,0.7029228902794006
ABC-embedded-parallel_paper_s0_s10,30,0.42203133154289585,0.7029228902794006
ABC-embedded-parallel_paper_s0_s10,31,0.6679035912800514,0.7029228902794006
ABC-embedded-hierarchical_p1_0_10_30,0,0.0024653425024651543,0.0024653425024651543
