seed,r2_teacher_forced,nrmse_teacher_forced,teacher_forced_ok,mse_150,nrmse_150,r2_150,mse_1000,nrmse_1000,r2_1000,valid_prediction_time,valid_threshold,diverged,out_of_range_fraction,grid_clamps,model,series,n_aux,device,seconds
2,0.9994700932797799,0.02301970286993513,True,0.02323062294785729,0.6242087418349017,0.610363446616889,0.08152106273568191,1.1292869672248815,-0.2752890543439708,56,0.1,False,0.012,0,ABC-noaux-tied,MG_standard,0,cpu,5.676755905151367
2,0.9591059037408767,0.2022228875748818,False,0.05015760941187985,0.917207998121151,0.1587294881825907,2.2544296204639984,5.938650140312794,-34.26756548903717,1,0.1,False,0.851,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.291884899139404
2,0.8859163009086228,0.3377627852374758,False,0.09384390005723044,1.2545917943926141,-0.5740005705572795,0.12791649613200276,1.4145968190604796,-1.0010841604960272,4,0.1,False,0.03,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,3.1077680587768555
3,0.9954899144973038,0.06715717015104342,True,1.320014094023848,4.705314998601294,-21.13998923606229,1.755704340034246,5.240769888394576,-26.465669023103292,7,0.1,False,0.969,0,M0-noaux,MG_standard,0,cpu,2.5841870307922363
3,0.9758449220048946,0.155419040001878,False,0.5174686013356643,2.9460588642613357,-7.679262831692791,0.738589240647933,3.3991543699961357,-10.554250431063826,4,0.1,False,0.6,0,AB-noaux-kraus,MG_standard,0,cpu,4.233043432235718
3,0.9653237036515836,0.18621572529841943,False,0.14728385016524764,1.5717265261814495,-1.4703242731024067,1.103532447637454,4.154913181799626,-16.263303548292292,2,0.1,False,0.871,0,ABC-noaux-kraus,MG_standard,0,cpu,5.397120952606201
3,0.9996907705934679,0.01758491986140781,True,0.025429833565734233,0.6530872081983559,0.5734770984876774,0.09480403777674458,1.2178192008532998,-0.4830836059669694,42,0.1,False,0.007,0,ABC-noaux-tied,MG_standard,0,cpu,5.784114599227905
3,0.9653237036515836,0.18621572529841943,False,0.14728385016524764,1.5717265261814495,-1.4703242731024067,1.103532447637454,4.154913181799626,-16.263303548292292,2,0.1,False,0.871,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.3923094272613525
3,0.9068027039213917,0.3052823219228527,False,0.09677236086526342,1.2740165998506117,-0.6231182966949136,0.13097161374005217,1.4313900338705985,-1.0488774290640728,5,0.1,False,0.04,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,3.1888668537139893
4,0.9976857341953358,0.048106816613284795,True,1.3192034310123797,4.703869934240233,-21.126392358249213,1.838964212260474,5.363595757411891,-27.768159448926834,14,0.1,True,0.697,0,M0-noaux,MG_standard,0,cpu,2.897763729095459
4,0.9791287629762285,0.14446880986486843,False,0.3078633804037479,2.272366799726362,-4.163650872498628,0.49488749484818284,2.782419701184549,-6.741859393539916,14,0.1,False,0.584,0,AB-noaux-kraus,MG_standard,0,cpu,4.496271133422852
4,0.9617586359140087,0.19555399276412477,False,0.035977570071038946,0.776810938584458,0.39656476569553334,0.5488524487277768,2.9301995874094096,-7.586069622054275,1,0.1,True,0.473,0,ABC-noaux-kraus,MG_standard,0,cpu,5.729454040527344
4,0.9997079292176023,0.017090078478393583,True,0.022663606716807845,0.6165437948341598,0.6198737490514935,0.1386472623480333,1.4727364955666626,-1.1689527853739743,43,0.1,False,0.0,0,ABC-noaux-tied,MG_standard,0,cpu,5.913434743881226
4,0.9617586359140087,0.19555399276412477,False,0.035977570071038946,0.776810938584458,0.39656476569553334,0.5488524487277768,2.9301995874094096,-7.586069622054275,1,0.1,True,0.473,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.7352917194366455
4,0.8861857416534031,0.3373636885419012,False,0.15889799278104036,1.6325204271536955,-1.6651229450740845,0.24064025860470412,1.940231461760072,-2.7644981252036254,2,0.1,False,0.145,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,3.23701548576355
5,0.9960439398664677,0.06289721880601978,True,2.2917180129703585,6.199833232979658,-37.437932116758994,2.347177677353877,6.059578037876314,-35.71848599711296,3,0.1,True,0.814,0,M0-noaux,MG_standard,0,cpu,2.7784621715545654
5,0.9792449301089622,0.14406619968277704,False,0.33396135425004475,2.366723512287464,-4.6013801836143085,0.5560563403025699,2.9493668751797766,-7.6987649644077205,8,0.1,False,0.628,0,AB-noaux-kraus,MG_standard,0,cpu,4.3965208530426025
5,0.9645489336118136,0.18828453571174253,False,0.019634030215706505,0.5738576110856463,0.6706874421990752,0.29733628621461505,2.156717966031979,-3.6514323850051165,1,0.1,False,0.24,0,ABC-noaux-kraus,MG_standard,0,cpu,5.826254367828369
5,0.9993470013689421,0.025553837892925278,True,0.09378896137953423,1.2542245051769094,-0.573079109386263,0.1436606849938611,1.4991267933510157,-1.2473811425428991,43,0.1,False,0.036,0,ABC-noaux-tied,MG_standard,0,cpu,5.962561845779419
5,0.9645489336118136,0.18828453571174253,False,0.019634030215706505,0.5738576110856463,0.6706874421990752,0.29733628621461505,2.156717966031979,-3.6514323850051165,1,0.1,False,0.24,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.828290700912476
5,0.8917791810561528,0.32896932827217673,False,0.10548293937174492,1.330119101210473,-0.7692168234049563,0.12134140587568118,1.3777610757827143,-0.8982255819419425,2,0.1,False,0.029,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,3.3087515830993652
6,0.9974229304088152,0.05076484601754227,True,4.009758945122312,8.20084400714403,-66.25384242951014,4.751177633815812,8.621245924545923,-73.32588129149967,13,0.1,True,0.801,0,M0-noaux,MG_standard,0,cpu,2.6842336654663086
6,0.9772948492712343,0.1506822840574354,False,0.4325059501835451,2.6933665483812277,-6.254223363939008,0.6716152160065129,3.241377873774867,-9.506530520597279,4,0.1,False,0.586,0,AB-noaux-kraus,MG_standard,0,cpu,4.092690706253052
6,0.9618744436478247,0.19525766656440233,False,0.030092812474978,0.7104455657827534,0.4952670980596233,0.8133372785846957,3.5670133842043574,-11.723584483093024,1,0.1,False,0.715,0,ABC-noaux-kraus,MG_standard,0,cpu,5.477303743362427
6,0.9992347506523451,0.027663140596375212,True,0.1140703758276427,1.3832027852566828,-0.9132499451418452,0.14658054623870462,1.514284816159598,-1.2930585044515075,28,0.1,False,0.009,0,ABC-noaux-tied,MG_standard,0,cpu,5.750317811965942
6,0.9618744436478247,0.19525766656440233,False,0.030092812474978,0.7104455657827534,0.4952670980596233,0.8133372785846957,3.5670133842043574,-11.723584483093024,1,0.1,False,0.715,0,ABC-noaux-hierarchical,MG_standard,0,cpu,6.3740973472595215
6,0.8959918528004007,0.32250294138131397,False,0.12331693827520113,1.4381718548075588,-1.0683382839606144,0.11294314645546298,1.329227571392696,-0.7668459365505247,3,0.1,False,0.021,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,3.8442554473876953
7,0.9975848907086092,0.049143761469699475,True,1.1316266952379335,4.3566333387403375,-17.98025404822378,1.4313618679271292,4.731993303955291,-21.391760628677712,14,0.1,True,0.64,0,M0-noaux,MG_standard,0,cpu,2.8588550090789795
7,0.9775659801904933,0.14977990455834422,False,0.30449863712797004,2.25991494999371,-4.107215581205073,0.6032604401114103,3.0720043270688437,-8.4372105855297,4,0.1,False,0.609,0,AB-noaux-kraus,MG_standard,0,cpu,4.38071870803833
