seed,omega,nonmarkovianity,mean_trace_distance,max_trace_distance,final_trace_distance,steps,seconds
50,0.5,5.6307030762425825e-06,0.003351882362011076,0.9263085722923279,2.470412852062509e-08,1000,11.56443977355957
50,0.0,0.34912550706135903,0.031131932969700547,0.9263085722923279,6.163433141637142e-08,1000,5.096515417098999
51,1.0,5.466196106196364e-06,0.0017467980973248113,0.9538559317588806,6.013193498688452e-09,1000,10.859976768493652
51,0.5,5.855611032501429e-06,0.0034241086218093244,0.9538558721542358,3.98533899215181e-08,1000,11.166540384292603
51,0.0,0.06778508787963844,0.021485147239998316,0.9538559317588806,4.491323934985303e-08,1000,4.9191131591796875
52,1.0,5.815066529191171e-06,0.0016835570217224156,0.9237751364707947,9.678868373441674e-09,1000,10.916487693786621
52,0.5,5.3968225044442875e-06,0.0031633188698063797,0.9237750768661499,3.106850954281981e-08,1000,11.51572585105896
52,0.0,1.2218811934557507,0.029681188229846188,0.9237749576568604,6.282332520868295e-08,1000,5.517557621002197
53,1.0,6.167887707464459e-06,0.0016623179896116192,0.9563621878623962,1.6583536321945758e-08,1000,10.329957485198975
53,0.5,6.040866822321078e-06,0.0032640274914550412,0.956362247467041,2.6133674779771354e-08,1000,14.06291937828064
53,0.0,0.07501538720078749,0.02292171703450166,0.956362247467041,5.820966109126857e-08,1000,6.746091604232788
54,1.0,5.967639783666101e-06,0.0017257913334877322,0.890761137008667,1.1280568479321573e-08,1000,14.335396528244019
54,0.5,5.94304156775749e-06,0.003414835907519031,0.8907612562179565,8.009374141693115e-08,1000,15.63592791557312
54,0.0,1.8823069551267437,0.02918974769984471,0.890761137008667,7.256202394501088e-08,1000,6.566884517669678
55,1.0,6.01180153592118e-06,0.0015350017942681762,0.872037410736084,1.4712671969618896e-08,1000,14.526850700378418
55,0.5,5.449820229763702e-06,0.0029874008219079036,0.8720375299453735,5.429570393289396e-08,1000,12.270702600479126
55,0.0,0.26724687996652463,0.02399878493152416,0.872037410736084,5.577201278583743e-08,1000,6.110719442367554
56,1.0,5.463206449451974e-06,0.0017253411783408584,0.9742314219474792,2.9190957206992607e-08,1000,16.029991626739502
56,0.5,5.635276740134643e-06,0.0033510676178679305,0.9742313623428345,1.9359516656436426e-08,1000,12.790359020233154
56,0.0,0.3846637787282958,0.029551261232400566,0.9742313623428345,6.020672316253695e-08,1000,10.01221513748169
