architecture,task,trial,value,state,omega_b,omega_c,eta_ab,eta_bc,omega,eta,eta_ac
ABC-embedded-tied,paper_s0_s10,10,0.43031241766559547,TrialState.COMPLETE,,,,,0.9522541012238168,0.058820634662532845,
ABC-embedded-tied,paper_s0_s10,11,0.4208662543571335,TrialState.COMPLETE,,,,,0.9695371107878658,0.7526282162139988,
ABC-embedded-tied,paper_s0_s10,12,0.4025683822794443,TrialState.COMPLETE,,,,,0.715169612196795,1.2124396614896749,
ABC-embedded-tied,paper_s0_s10,13,0.41066223288422304,TrialState.COMPLETE,,,,,0.5472678311199488,0.6254983319334895,
ABC-embedded-tied,paper_s0_s10,14,0.4200191214955334,TrialState.COMPLETE,,,,,0.8171981049955156,1.2367555050191386,
ABC-embedded-tied,paper_s0_s10,15,0.4764213687300446,TrialState.COMPLETE,,,,,0.039456736063834486,0.08730468628767024,
ABC-embedded-tied,paper_s0_s10,16,0.4044677145918654,TrialState.COMPLETE,,,,,0.5386104939214291,0.557660318374147,
ABC-embedded-tied,paper_s0_s10,17,0.47301516603701277,TrialState.COMPLETE,,,,,0.23576877834531998,1.0073704414978093,
ABC-embedded-tied,paper_s0_s10,18,0.41911766220834623,TrialState.COMPLETE,,,,,0.8597199603041552,1.2933646569991364,
ABC-embedded-tied,paper_s0_s10,19,0.5608802414746147,TrialState.COMPLETE,,,,,0.6433753799381057,0.3652970142077449,
ABC-embedded-tied,paper_s0_s10,20,0.42127587037411307,TrialState.COMPLETE,,,,,0.45661749490605236,0.8262552572284476,
ABC-embedded-tied,paper_s0_s10,21,0.5508612064551759,TrialState.COMPLETE,,,,,0.14453498735211712,0.23990986193856556,
ABC-embedded-tied,paper_s0_s10,22,0.5693821744116956,TrialState.COMPLETE,,,,,0.10949201917650596,0.39460617745580007,
ABC-embedded-tied,paper_s0_s10,23,0.7348755764783927,TrialState.COMPLETE,,,,,0.0753629682964918,0.4591067842508251,
