architecture,task,trial,value,state,omega,eta
AB-embedded,paper_s0_s10,18,0.6741962425670095,TrialState.COMPLETE,0.26224311808450346,0.6444386686021196
AB-embedded,paper_s0_s10,19,0.4417727293692525,TrialState.COMPLETE,0.4899916901098238,0.8619181661974711
AB-embedded,paper_s0_s10,20,0.5082163932702035,TrialState.COMPLETE,0.09736015645089491,0.08878208168867951
AB-embedded,paper_s0_s10,21,0.6039315490937942,TrialState.COMPLETE,0.29724847327048826,0.6635538071740926
AB-embedded,paper_s0_s10,22,0.7404649874710343,TrialState.COMPLETE,0.2271011449922648,0.55807801774582
AB-embedded,paper_s0_s10,23,0.7373470221004731,TrialState.COMPLETE,0.20809611239458475,0.5470010611479997
AB-embedded,paper_s0_s10,24,0.5275460224106239,TrialState.COMPLETE,0.3816281469193673,0.5396329354898474
AB-embedded,paper_s0_s10,25,0.6149333005380995,TrialState.COMPLETE,0.21850054640899577,0.43374287798600014
AB-embedded,paper_s0_s10,26,0.5753177119948858,TrialState.COMPLETE,0.36820721726858086,0.217927216179784
AB-embedded,paper_s0_s10,27,0.5770774543108378,TrialState.COMPLETE,0.23698087576154875,0.7286325430827032
AB-embedded,paper_s0_s10,28,0.43100642002339035,TrialState.COMPLETE,0.5719531928979469,0.5465147175148091
AB-embedded,paper_s0_s10,29,0.5609725894718919,TrialState.COMPLETE,0.35516429567386465,0.4606768027098381
AB-embedded,paper_s0_s10,30,0.5280808385252337,TrialState.COMPLETE,0.09635340649262203,0.18829381611415602
AB-embedded,paper_s0_s10,31,0.6685938487246927,TrialState.COMPLETE,0.14525327156661152,0.9759256768333009
AB-embedded,paper_s0_s10,32,0.7194231515445828,TrialState.COMPLETE,0.09019596073000127,0.7578531856786795
AB-embedded,paper_s0_s10,33,0.6809202487836744,TrialState.COMPLETE,0.21739093866226838,0.3801573672154771
AB-embedded,paper_s0_s10,34,0.7333294807304523,TrialState.COMPLETE,0.12782432428264007,0.8762000687674341
AB-embedded,paper_s0_s10,35,0.5577301433805598,TrialState.COMPLETE,0.3221182666559991,0.8641749608367527
AB-embedded,paper_s0_s10,36,0.7737958330820195,TrialState.COMPLETE,0.141584241652351,0.5667489559772895
AB-embedded,paper_s0_s10,37,0.7365557138816953,TrialState.COMPLETE,0.03916031060174478,0.5630861645297056
AB-embedded,paper_s0_s10,38,0.4647630444152589,TrialState.COMPLETE,0.42249987352429497,0.6849723647958303
AB-embedded,paper_s0_s10,39,0.6460704199568641,TrialState.COMPLETE,0.17675674974846559,0.48694683917390114
AB-embedded,paper_s0_s10,40,0.5742161266107915,TrialState.COMPLETE,0.7219454805607028,0.3684943489306367
AB-embedded,paper_s0_s10,41,0.739952968532784,TrialState.COMPLETE,0.042781141355660274,0.5695389743362239
AB-embedded,paper_s0_s10,42,0.7373271341779853,TrialState.COMPLETE,0.057884766751852924,0.6252449468998698
AB-embedded,paper_s0_s10,43,0.7473440383059231,TrialState.COMPLETE,0.23903728147974035,0.577143331548447
AB-embedded,paper_s0_s10,44,0.6234163411139575,TrialState.COMPLETE,0.01688150283056604,0.28549577596488485
AB-embedded,paper_s0_s10,45,0.5684510288414952,TrialState.COMPLETE,0.25613476782264033,0.7582151932907746
AB-embedded,paper_s0_s10,46,0.6227383737868326,TrialState.COMPLETE,0.16864363501928736,0.41688581368498057
