series,comparison,metric,n_present,n_a_valid,n_b_valid,n_gated_both_valid,inconclusive_lt_min,gate,mean_a,mean_b,median_a,median_b,ungated_note,mean_diff_a_minus_b,ci95_lo,ci95_hi,cohen_dz,wins,losses,p_wilcoxon
two_delay,ABC-embedded-hierarchical vs AB-embedded,valid_prediction_time,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,910.4,1000.0,1000.0,1000.0,,-89.6,-176.65125,-19.527500000000124,-0.45919560125952075,0.0,7.0,0.017960477526078766
two_delay,ABC-embedded-hierarchical vs AB-embedded,nrmse_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,0.018968625297512795,0.006647344456727785,0.01583621634815855,0.006172866329259501,,0.012321280840785011,0.008814139076889816,0.016362225678593155,1.3702461843098097,20.0,0.0,1.9073486328125e-06
two_delay,ABC-embedded-hierarchical vs AB-embedded,mse_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,5.055896504752112e-05,5.712072908758914e-06,2.9932235172797923e-05,4.546094335557232e-06,,4.484689213876221e-05,2.5755867103450243e-05,6.853026382692383e-05,0.8772534148689184,20.0,0.0,1.9073486328125e-06
two_delay,ABC-embedded-hierarchical vs AB-embedded,r2_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,0.999576172858313,0.9999521166714598,0.9997490832008593,0.9999618908700708,,-0.0003759438131468007,-0.0005744774603183269,-0.000215907021155793,-0.8772534148689923,0.0,20.0,1.9073486328125e-06
two_delay,ABC-embedded-hierarchical vs ABC-embedded-tied,valid_prediction_time,20,20,12,12,True,teacher_forced_ok & out_of_range<= 0.5,980.0,304.4166666666667,1000.0,182.0,,675.5833333333334,503.49375,814.925,2.327165251270438,11.0,0.0,0.0033456181158508813
two_delay,ABC-embedded-hierarchical vs ABC-embedded-tied,nrmse_150,20,20,12,12,True,teacher_forced_ok & out_of_range<= 0.5,0.015591897160815368,0.15052495705999577,0.0150111944300954,0.09522021849204745,,-0.1349330598991804,-0.2578840745229957,-0.052310901233575194,-0.6524605132432253,0.0,12.0,0.00048828125
two_delay,ABC-embedded-hierarchical vs ABC-embedded-tied,mse_150,20,20,12,12,True,teacher_forced_ok & out_of_range<= 0.5,2.9810896701719443e-05,0.007429432849210212,2.690623267752479e-05,0.0011007781250159001,,-0.007399621952508493,-0.01946154512662414,-0.0007816045357982096,-0.35964983168602654,0.0,12.0,0.00048828125
two_delay,ABC-embedded-hierarchical vs ABC-embedded-tied,r2_150,20,20,12,12,True,teacher_forced_ok & out_of_range<= 0.5,0.9997501003604734,0.93772033731551,0.9997744496613299,0.9907723655751532,,0.06202976304496338,0.00655205691069085,0.16314279843500798,0.359649831686029,12.0,0.0,0.00048828125
two_delay,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,valid_prediction_time,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,910.4,870.45,1000.0,1000.0,,39.95,-57.45125,157.30624999999998,0.15802056411529328,3.0,5.0,0.6744240722352938
two_delay,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,nrmse_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,0.018968625297512795,0.02065419545762438,0.01583621634815855,0.01702665147976315,,-0.0016855701601115852,-0.007470512030866729,0.003102970776254635,-0.1349268110785727,9.0,11.0,0.7011814117431641
two_delay,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,mse_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,5.055896504752112e-05,6.366739320899707e-05,2.9932235172797923e-05,3.4602328519100614e-05,,-1.3108428161475938e-05,-5.7745669008772104e-05,2.1400110726567897e-05,-0.13895974710245879,9.0,11.0,0.7011814117431641
two_delay,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,r2_150,20,20,20,20,False,teacher_forced_ok & out_of_range<= 0.5,0.999576172858313,0.9994662871509125,0.9997490832008593,0.9997099346084679,,0.00010988570740060876,-0.00017939346172343788,0.0004840720496908586,0.13895974710245515,11.0,9.0,0.7011814117431641
