seed,topology,d_B,task,tau,capacity
5,parallel,64,stm_linear,38,0.002932396484830237
5,parallel,64,stm_linear,39,0.0005904268581019508
5,parallel,64,stm_linear,40,0.001943998496166147
5,parallel,64,stm_linear,41,0.0005298272366745164
5,parallel,64,stm_linear,42,0.004004089069101377
5,parallel,64,stm_linear,43,0.002751757104004011
5,parallel,64,stm_linear,44,0.0018737015036303152
5,parallel,64,stm_linear,45,0.0018546524146377818
5,parallel,64,stm_linear,46,0.00017737878842573738
5,parallel,64,stm_linear,47,0.00030658925497431343
5,parallel,64,stm_linear,48,0.00031631058596790824
5,parallel,64,stm_linear,49,0.0012690181968572358
5,parallel,64,stm_linear,50,0.0005067666736273454
5,parallel,64,s10_x_s20,-1,0.4676753085090128
6,parallel,64,stm_linear,0,0.9088760767461971
6,parallel,64,stm_linear,1,0.9976854636088811
6,parallel,64,stm_linear,2,0.9948881849968184
6,parallel,64,stm_linear,3,0.9782928507208255
6,parallel,64,stm_linear,4,0.9598456131863433
6,parallel,64,stm_linear,5,0.9559207898105573
6,parallel,64,stm_linear,6,0.9535159673568119
6,parallel,64,stm_linear,7,0.8901097324928041
6,parallel,64,stm_linear,8,0.8674885890090613
6,parallel,64,stm_linear,9,0.8896055239395452
6,parallel,64,stm_linear,10,0.8629023213406455
6,parallel,64,stm_linear,11,0.7209480065448546
6,parallel,64,stm_linear,12,0.763315684323353
6,parallel,64,stm_linear,13,0.6778608502876263
6,parallel,64,stm_linear,14,0.5539860971334891
6,parallel,64,stm_linear,15,0.5965554019762129
6,parallel,64,stm_linear,16,0.43008032690255815
6,parallel,64,stm_linear,17,0.4620860365164187
6,parallel,64,stm_linear,18,0.36092618985591274
6,parallel,64,stm_linear,19,0.20315470470935043
6,parallel,64,stm_linear,20,0.26364066807543646
6,parallel,64,stm_linear,21,0.1454508005695713
6,parallel,64,stm_linear,22,0.0705091842823551
6,parallel,64,stm_linear,23,0.06914179289343092
6,parallel,64,stm_linear,24,0.04819691141351985
6,parallel,64,stm_linear,25,0.060938932475274876
6,parallel,64,stm_linear,26,0.028641508145045753
6,parallel,64,stm_linear,27,0.028523094292224032
6,parallel,64,stm_linear,28,0.018102031260104602
6,parallel,64,stm_linear,29,0.008465717427423537
6,parallel,64,stm_linear,30,0.009278403321773852
6,parallel,64,stm_linear,31,0.0032141487557036147
6,parallel,64,stm_linear,32,0.0019028592331529737
6,parallel,64,stm_linear,33,0.0008788846569259454
6,parallel,64,stm_linear,34,0.0047492823779135135
6,parallel,64,stm_linear,35,0.004441873091039219
6,parallel,64,stm_linear,36,0.00017132133484759808
6,parallel,64,stm_linear,37,0.0008920583246836123
6,parallel,64,stm_linear,38,0.0026788643667919093
6,parallel,64,stm_linear,39,1.3608314743221041e-05
6,parallel,64,stm_linear,40,2.2353450364890788e-07
6,parallel,64,stm_linear,41,0.00013619720917788138
6,parallel,64,stm_linear,42,0.000432608428129549
6,parallel,64,stm_linear,43,8.852109764601768e-05
6,parallel,64,stm_linear,44,0.0007495540530878227
6,parallel,64,stm_linear,45,0.00023154916392066247
6,parallel,64,stm_linear,46,1.642551812822414e-05
6,parallel,64,stm_linear,47,0.0023277491457263785
6,parallel,64,stm_linear,48,0.00011827558000638571
6,parallel,64,stm_linear,49,1.0339235845602336e-05
6,parallel,64,stm_linear,50,0.00023607543104176964
6,parallel,64,s10_x_s20,-1,0.4691733271844086
7,parallel,64,stm_linear,0,0.9572100044484744
7,parallel,64,stm_linear,1,0.9984002302385628
7,parallel,64,stm_linear,2,0.997414031402194
7,parallel,64,stm_linear,3,0.9916014258408997
7,parallel,64,stm_linear,4,0.9815746144375744
7,parallel,64,stm_linear,5,0.9825070184901121
7,parallel,64,stm_linear,6,0.9623626184359562
7,parallel,64,stm_linear,7,0.9524333126838169
7,parallel,64,stm_linear,8,0.9415925118322921
7,parallel,64,stm_linear,9,0.9317119559060179
7,parallel,64,stm_linear,10,0.8849044780085202
7,parallel,64,stm_linear,11,0.8894588823743868
7,parallel,64,stm_linear,12,0.7555450979912938
7,parallel,64,stm_linear,13,0.6099606503501879
7,parallel,64,stm_linear,14,0.6263534949702511
7,parallel,64,stm_linear,15,0.5713309294928999
7,parallel,64,stm_linear,16,0.3367180876315728
7,parallel,64,stm_linear,17,0.4436239497769933
7,parallel,64,stm_linear,18,0.32131544213765917
7,parallel,64,stm_linear,19,0.17392508536987014
7,parallel,64,stm_linear,20,0.13979998952296016
7,parallel,64,stm_linear,21,0.0606242557730385
7,parallel,64,stm_linear,22,0.06467218642207803
7,parallel,64,stm_linear,23,0.029139737092292454
7,parallel,64,stm_linear,24,0.023261135000289486
7,parallel,64,stm_linear,25,0.01017801137911463
7,parallel,64,stm_linear,26,0.00443630780462125
7,parallel,64,stm_linear,27,0.0018502478580148037
7,parallel,64,stm_linear,28,0.004748561286880803
7,parallel,64,stm_linear,29,0.0011129394237798331
7,parallel,64,stm_linear,30,0.005205440774767017
7,parallel,64,stm_linear,31,0.0006439908966948009
7,parallel,64,stm_linear,32,0.0011127933480734502
7,parallel,64,stm_linear,33,0.00011031860427327573
7,parallel,64,stm_linear,34,6.746725116847198e-08
7,parallel,64,stm_linear,35,6.449365346113917e-05
7,parallel,64,stm_linear,36,0.001269723167627393
7,parallel,64,stm_linear,37,0.0008473165127114104
7,parallel,64,stm_linear,38,0.0028232802720010407
7,parallel,64,stm_linear,39,0.00010927098624918405
7,parallel,64,stm_linear,40,4.155540831613826e-05
7,parallel,64,stm_linear,41,6.960283841354249e-05
7,parallel,64,stm_linear,42,0.00011845983530475534
7,parallel,64,stm_linear,43,0.0016673810890026172
7,parallel,64,stm_linear,44,4.11898760545274e-06
7,parallel,64,stm_linear,45,4.648285072426618e-06
7,parallel,64,stm_linear,46,0.0016165079109601314
7,parallel,64,stm_linear,47,0.000280330449962693
7,parallel,64,stm_linear,48,0.004006664991909511
7,parallel,64,stm_linear,49,0.00046829469203222917
7,parallel,64,stm_linear,50,2.664413836264519e-05
7,parallel,64,s10_x_s20,-1,0.41832760083086945
8,parallel,64,stm_linear,0,0.9608821810340992
8,parallel,64,stm_linear,1,0.998678286608726
8,parallel,64,stm_linear,2,0.99683030293597
8,parallel,64,stm_linear,3,0.9908320990781436
8,parallel,64,stm_linear,4,0.97690983048807
8,parallel,64,stm_linear,5,0.982162731682527
8,parallel,64,stm_linear,6,0.9760522289335372
8,parallel,64,stm_linear,7,0.9370251282028912
8,parallel,64,stm_linear,8,0.9285548444337611
8,parallel,64,stm_linear,9,0.9313063951695756
8,parallel,64,stm_linear,10,0.903238777163882
8,parallel,64,stm_linear,11,0.821301071801575
8,parallel,64,stm_linear,12,0.7701947893067137
8,parallel,64,stm_linear,13,0.7105108307309722
8,parallel,64,stm_linear,14,0.5884702224873518
8,parallel,64,stm_linear,15,0.4704944282356122
8,parallel,64,stm_linear,16,0.31227698543561705
8,parallel,64,stm_linear,17,0.26973303163425266
8,parallel,64,stm_linear,18,0.25350639951364196
8,parallel,64,stm_linear,19,0.13579217205716992
8,parallel,64,stm_linear,20,0.14409147392713334
8,parallel,64,stm_linear,21,0.03249513986554523
8,parallel,64,stm_linear,22,0.04413568563728641
8,parallel,64,stm_linear,23,0.024581955913595372
8,parallel,64,stm_linear,24,0.020442279536962177
8,parallel,64,stm_linear,25,0.0060896013049953485
8,parallel,64,stm_linear,26,0.003248483457218546
8,parallel,64,stm_linear,27,0.0056019586003089586
8,parallel,64,stm_linear,28,0.00018952381986099684
8,parallel,64,stm_linear,29,5.869820155309362e-05
8,parallel,64,stm_linear,30,0.0006150253475778063
8,parallel,64,stm_linear,31,0.0018427899569991356
8,parallel,64,stm_linear,32,0.0005655946258611798
8,parallel,64,stm_linear,33,7.530763156769715e-05
8,parallel,64,stm_linear,34,0.00030634318635034633
8,parallel,64,stm_linear,35,0.00015451808180894566
8,parallel,64,stm_linear,36,0.0013138399334112294
8,parallel,64,stm_linear,37,0.00548630967850382
8,parallel,64,stm_linear,38,0.0018887007131628262
8,parallel,64,stm_linear,39,0.0039916172085294735
8,parallel,64,stm_linear,40,0.0010630760349130124
8,parallel,64,stm_linear,41,0.0009887989670237082
8,parallel,64,stm_linear,42,0.002218309941115889
8,parallel,64,stm_linear,43,0.00042935492464552726
8,parallel,64,stm_linear,44,0.0019953229421411415
8,parallel,64,stm_linear,45,0.000239964911683344
8,parallel,64,stm_linear,46,0.0012849538453721234
8,parallel,64,stm_linear,47,0.00196126724367183
8,parallel,64,stm_linear,48,0.0009324716054999007
8,parallel,64,stm_linear,49,0.0021228770205520635
8,parallel,64,stm_linear,50,0.0025484333890004366
8,parallel,64,s10_x_s20,-1,0.44197322830817776
9,parallel,64,stm_linear,0,0.9532640982624081
9,parallel,64,stm_linear,1,0.9983374282739923
9,parallel,64,stm_linear,2,0.9971228626052889
9,parallel,64,stm_linear,3,0.9899113111860808
9,parallel,64,stm_linear,4,0.9728222516277185
9,parallel,64,stm_linear,5,0.9747235329116919
9,parallel,64,stm_linear,6,0.9664357705046321
9,parallel,64,stm_linear,7,0.948035510338561
9,parallel,64,stm_linear,8,0.9198377036397057
9,parallel,64,stm_linear,9,0.9282482154994005
9,parallel,64,stm_linear,10,0.8880370294419387
9,parallel,64,stm_linear,11,0.839872604195107
9,parallel,64,stm_linear,12,0.7421903931858458
9,parallel,64,stm_linear,13,0.6271393608372532
9,parallel,64,stm_linear,14,0.5724335265233297
9,parallel,64,stm_linear,15,0.6041502843287827
9,parallel,64,stm_linear,16,0.4275298108669475
9,parallel,64,stm_linear,17,0.3544348352267971
9,parallel,64,stm_linear,18,0.24636501995230536
9,parallel,64,stm_linear,19,0.14225840436119888
9,parallel,64,stm_linear,20,0.11421044317953949
9,parallel,64,stm_linear,21,0.03874171775383848
9,parallel,64,stm_linear,22,0.02784082033905007
9,parallel,64,stm_linear,23,0.008384202599743968
9,parallel,64,stm_linear,24,0.0060209938861557535
9,parallel,64,stm_linear,25,0.0029126036669134114
9,parallel,64,stm_linear,26,3.613308836618929e-05
9,parallel,64,stm_linear,27,0.0007670075440655769
