model,seed,task,nmse,nrmse,r2
ABC-embedded-hierarchical,13,NARMA10,0.2596699662412572,0.5095782238687768,0.7403300337587428
ABC-embedded-hierarchical,14,NARMA10,0.23614355111086016,0.485946037241647,0.7638564488891398
ABC-embedded-hierarchical,15,NARMA10,0.27540845848525763,0.5247937294644989,0.7245915415147424
ABC-embedded-hierarchical,16,NARMA10,0.18360032769643292,0.4284860881013909,0.8163996723035671
ABC-embedded-hierarchical,17,NARMA10,0.3301594313166226,0.5745950150467916,0.6698405686833775
ABC-embedded-hierarchical,18,NARMA10,0.2405608602973898,0.4904700401628929,0.7594391397026102
ABC-embedded-hierarchical,19,NARMA10,0.22686944637841208,0.4763081422550029,0.773130553621588
M0-noaux,0,NARMA10,0.608861947223334,0.7802960638266311,0.39113805277666613
M0-noaux,1,NARMA10,,,
M0-noaux,2,NARMA10,0.5058756725389787,0.7112493743680754,0.4941243274610213
M0-noaux,3,NARMA10,0.4767820619577981,0.6904940709070557,0.5232179380422018
M0-noaux,4,NARMA10,0.4016860625951436,0.6337870798581678,0.5983139374048563
M0-noaux,5,NARMA10,0.39157202183118256,0.6257571588333469,0.6084279781688173
M0-noaux,6,NARMA10,0.49382463381811115,0.7027265711627184,0.5061753661818889
M0-noaux,7,NARMA10,0.39970526139210916,0.6322224777656273,0.600294738607891
M0-noaux,8,NARMA10,0.41028358884973903,0.6405338311515942,0.589716411150261
M0-noaux,9,NARMA10,0.5321210217921717,0.7294662581587799,0.4678789782078283
M0-noaux,10,NARMA10,0.2868464454944722,0.5355804752737652,0.7131535545055278
M0-noaux,11,NARMA10,0.39820193173235086,0.6310324331857681,0.6017980682676491
M0-noaux,12,NARMA10,0.31976915947324,0.5654813520119297,0.6802308405267601
M0-noaux,13,NARMA10,0.36817953528531083,0.6067779950569325,0.6318204647146891
M0-noaux,14,NARMA10,0.5566888463763285,0.7461158397838291,0.44331115362367146
M0-noaux,15,NARMA10,0.4825646729926287,0.6946687505513895,0.5174353270073713
M0-noaux,16,NARMA10,0.4898135605684423,0.6998668163075331,0.5101864394315577
M0-noaux,17,NARMA10,0.6719885810260241,0.81974909638622,0.3280114189739758
M0-noaux,18,NARMA10,0.3980668044153667,0.6309253556605303,0.6019331955846334
M0-noaux,19,NARMA10,0.5076359613211395,0.7124857621883679,0.49236403867886047
AB-Markov,0,NARMA10,0.7085396185219801,0.8417479542725246,0.2914603814780199
AB-Markov,1,NARMA10,,,
AB-Markov,2,NARMA10,0.6918649222402509,0.8317841800853457,0.30813507775974924
AB-Markov,3,NARMA10,0.6866078566797227,0.8286180402813607,0.3133921433202774
AB-Markov,4,NARMA10,0.651550984568844,0.8071870815175649,0.34844901543115603
AB-Markov,5,NARMA10,0.7270818592333022,0.8526909517716851,0.27291814076669785
AB-Markov,6,NARMA10,0.7034048593825971,0.8386923508549468,0.2965951406174029
AB-Markov,7,NARMA10,0.6643720746915649,0.8150902248779364,0.3356279253084351
AB-Markov,8,NARMA10,0.7142942856640143,0.8451593256090915,0.2857057143359857
AB-Markov,9,NARMA10,0.6925348910060296,0.8321868125643602,0.3074651089939704
AB-Markov,10,NARMA10,0.6674089915839843,0.8169510337737411,0.33259100841601574
AB-Markov,11,NARMA10,0.7253247789094214,0.8516600136846988,0.2746752210905786
AB-Markov,12,NARMA10,0.6508753896307226,0.8067684857694446,0.34912461036927755
AB-Markov,13,NARMA10,0.7275384524397885,0.8529586463831577,0.27246154756021135
AB-Markov,14,NARMA10,0.6695122906762,0.8182373070669657,0.3304877093238
AB-Markov,15,NARMA10,0.6408028419785821,0.8005016189731174,0.35919715802141794
AB-Markov,16,NARMA10,0.6711455878185016,0.8192347574526496,0.32885441218149836
AB-Markov,17,NARMA10,0.708103383731563,0.8414887900213306,0.291896616268437
AB-Markov,18,NARMA10,0.6385989821244308,0.7991238840908403,0.3614010178755692
AB-Markov,19,NARMA10,0.6324403730791562,0.7952611980218551,0.36755962692084365
